排名,代码,名称,总分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,信号摘要,均线趋势,MACD,成交量,筹码分布,动量,布林带,RSI,KDJ,换手率
1,001256,炜冈科技,69.5,22.88,-0.95,21.62,-5.5%,24.0,+4.9%,25.13,+9.8%,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏,10.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,10.0
2,600548,深高速,67.1,9.17,1.33,8.92,-2.7%,9.36,+2.1%,9.55,+4.1%,均线多头 | MACD偏多 | 量价配合 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,8.0,8.0,0.0,3.0,6.0,5.0
3,002580,圣阳股份,67.0,13.51,4.97,12.77,-5.5%,14.24,+5.4%,14.96,+10.7%,均线偏多 | 量价配合 | 上方筹码稀疏,6.0,2.0,10.0,9.0,6.0,10.0,8.0,4.0,5.0
4,605389,长龄液压,66.9,77.03,10.0,69.75,-9.5%,82.49,+7.1%,87.95,+14.2%,均线偏多 | MACD金叉 | 温和放量 | KDJ金叉 | 涨势良好,7.0,10.0,7.0,3.0,7.0,3.0,5.0,8.0,10.0
5,601139,深圳燃气,65.3,7.56,4.85,6.71,-11.2%,8.2,+8.5%,8.83,+16.8%,均线多头 | MACD偏多 | 温和放量 | 上方筹码稀疏,8.0,7.0,7.0,9.0,6.0,0.0,8.0,2.0,10.0
6,605169,洪通燃气,65.0,14.19,10.0,12.77,-10.0%,15.25,+7.5%,16.32,+15.0%,均线偏多 | 温和放量 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,5.0,2.0,7.0,9.0,8.0,5.0,8.0,10.0,6.0
7,605228,神通科技,65.0,13.81,2.3,12.79,-7.4%,14.58,+5.6%,15.34,+11.1%,均线偏多 | MACD偏多 | 量价配合 | 涨势良好,5.5,7.0,10.0,1.0,7.0,10.0,5.0,3.0,10.0
8,000539,粤电力Ａ,64.2,6.17,9.98,5.72,-7.3%,6.51,+5.5%,6.84,+10.9%,均线多头 | MACD偏多 | 量价配合 | KDJ金叉 | 上方筹码稀疏,10.0,7.0,10.0,7.0,4.0,0.0,0.0,6.0,10.0
9,600901,江苏金租,64.1,6.53,0.77,6.24,-4.4%,6.75,+3.4%,6.97,+6.7%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,9.0,5.0,10.0,8.0,8.0,0.0,5.0,5.0,5.0
10,301266,宇邦新材,63.6,52.09,1.9,46.86,-10.0%,56.01,+7.5%,59.93,+15.1%,均线多头 | 温和放量 | 涨势良好 | 筹码尚可,10.0,2.0,7.0,6.0,10.0,0.0,8.0,3.0,10.0
