排名,代码,名称,综合分,总分,精选分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,移动止损触发价,移动止损价,移动止损%,ATR止损系数,信号摘要,R2_风险收益比,R2_趋势稳定性,R2_乖离率,R2_量能持续性,R2_多周期共振,均线趋势,MACD,成交量,筹码分布,相对低位,动量,布林带,RSI,KDJ,换手率
1,603196,璞源材料,110.6,79.7,30.9,27.49,0.99,25.74,-6.4%,29.13,+6.0%,30.76,+11.9%,29.13,28.36,+3.2%,1.6,均线多头 | MACD金叉 | 温和放量 | 涨势良好 | 上方筹码稀疏,2,5.5,10,5,10.0,10.0,10.0,7.0,10.0,3,7.0,0.0,5.0,5.0,10.0
2,603222,济民健康,105.30000000000001,82.9,22.4,9.11,1.56,8.6,-5.6%,9.59,+5.3%,10.07,+10.5%,9.59,9.36,+2.7%,1.6,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏 | 横向相对低位,4,4.0,10,1,4.0,10.0,7.0,7.0,8.0,9,10.0,0.0,8.0,3.0,10.0
3,603565,中谷物流,103.0,76.3,26.7,11.53,2.31,11.1,-3.7%,11.93,+3.5%,12.33,+6.9%,11.93,11.74,+1.8%,1.6,均线多头 | MACD金叉 | 量价配合 | 涨势良好 | 上方筹码稀疏,2,6.0,7,3,10.0,10.0,10.0,10.0,9.0,2,10.0,0.0,0.0,3.0,5.0
