排名,代码,名称,综合分,总分,精选分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,信号摘要,R2_风险收益比,R2_趋势稳定性,R2_乖离率,R2_量能持续性,R2_多周期共振,均线趋势,MACD,成交量,筹码分布,动量,布林带,RSI,KDJ,换手率
1,603113,金能科技,104.19999999999999,75.6,28.6,7.61,2.42,7.1,-6.7%,7.99,+5.0%,8.37,+10.0%,均线多头 | MACD金叉 | 量价配合 | 涨势良好 | 上方筹码稀疏,0,8.0,4,8,10.0,10.0,10.0,10.0,7.0,10.0,0.0,3.0,5.0,10.0
2,600732,爱旭股份,97.80000000000001,73.2,24.6,15.29,1.26,14.1,-7.8%,16.18,+5.8%,17.07,+11.6%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,0,6.0,4,6,10.0,10.0,7.0,10.0,8.0,10.0,0.0,5.0,3.0,10.0
3,301327,华宝新能,95.0,73.8,21.2,59.8,1.18,56.04,-6.3%,62.62,+4.7%,65.44,+9.4%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,0,4.0,7,6,5.5,10.0,7.0,10.0,7.0,10.0,0.0,5.0,5.0,10.0
