排名,代码,名称,总分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,移动止损触发价,移动止损价,移动止损%,ATR止损系数,信号摘要,均线趋势,MACD,成交量,筹码分布,相对低位,动量,布林带,RSI,KDJ,换手率
1,600756,浪潮软件,81.1,18.7,1.14,16.8,-10.2%,20.12,+7.6%,21.55,+15.2%,20.12,19.46,+4.1%,2.0,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏 | 横向相对低位,9.5,7.0,7.0,9.0,10,7.0,0.0,0.0,3.0,5.0
2,600795,国电电力,79.2,5.11,0.59,4.89,-4.3%,5.31,+3.9%,5.52,+8.0%,5.31,5.22,+2.2%,1.6,均线多头 | MACD金叉 | 温和放量 | 涨势良好 | 上方筹码稀疏 | 横向相对低位,8.0,10.0,7.0,8.0,10,7.0,0.0,8.0,5.0,8.0
3,603071,物产环能,78.0,15.06,1.48,14.27,-5.2%,15.8,+4.9%,16.55,+9.9%,15.8,15.46,+2.7%,1.6,均线多头 | MACD金叉 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,10.0,10.0,9.0,2,10.0,0.0,0.0,5.0,10.0
4,002947,恒铭达,76.9,52.58,1.31,48.19,-8.3%,55.87,+6.3%,59.17,+12.5%,55.87,54.34,+3.3%,2.0,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,9.0,3,10.0,0.0,0.0,3.0,10.0
5,002468,申通快递,76.3,14.91,4.48,13.94,-6.5%,15.82,+6.1%,16.73,+12.2%,15.82,15.4,+3.3%,1.6,均线多头 | MACD金叉 | 量价配合 | 涨势良好 | 上方筹码稀疏,9.5,10.0,10.0,9.0,2,10.0,0.0,0.0,3.0,10.0
6,002960,青鸟消防,76.0,11.91,1.97,11.28,-5.3%,12.5,+5.0%,13.1,+10.0%,12.5,12.23,+2.7%,1.6,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,9.0,2,10.0,0.0,3.0,3.0,10.0
7,002840,华统股份,75.9,10.98,1.67,9.84,-10.4%,11.59,+5.6%,12.2,+11.1%,11.59,11.3,+2.9%,2.8,均线多头 | MACD偏多 | 量价配合 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,9.0,2,10.0,0.0,0.0,8.0,10.0
8,601398,工商银行,75.7,7.42,1.09,7.14,-3.8%,7.63,+2.8%,7.84,+5.7%,7.63,7.53,+1.5%,2.0,均线多头 | MACD偏多 | 上方筹码稀疏 | 横向相对低位,10.0,5.0,0.0,10.0,9,6.0,0.0,3.0,2.0,0.0
9,601825,沪农商行,75.3,8.98,1.13,8.5,-5.3%,9.24,+2.9%,9.5,+5.8%,9.24,9.12,+1.6%,2.8,均线多头 | MACD偏多 | 量价配合 | KDJ金叉 | 涨势良好 | 上方筹码稀疏 | 位置尚可,9.0,7.0,10.0,8.0,6,10.0,0.0,3.0,6.0,5.0
10,600428,中远海特,75.1,8.79,4.77,8.17,-7.1%,9.37,+6.6%,9.95,+13.2%,9.37,9.1,+3.5%,1.6,均线多头 | MACD金叉 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,10.0,10.0,8.0,2,7.0,0.0,5.0,3.0,10.0
