排名,代码,名称,综合分,总分,精选分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,信号摘要,R2_风险收益比,R2_趋势稳定性,R2_乖离率,R2_量能持续性,R2_多周期共振,均线趋势,MACD,成交量,筹码分布,动量,布林带,RSI,KDJ,换手率
1,002460,赣锋锂业,91.19999999999999,68.1,23.1,70.63,2.05,64.09,-9.3%,75.54,+7.0%,80.44,+13.9%,均线偏多 | MACD金叉 | 温和放量 | 涨势良好 | 上方筹码稀疏,0,2.0,10,8,4.5,7.0,10.0,6.0,9.0,8.0,5.0,5.0,5.0,5.0
2,002466,天齐锂业,89.2,69.2,20.0,53.46,3.54,48.81,-8.7%,56.95,+6.5%,60.43,+13.0%,MACD金叉 | 温和放量 | KDJ金叉 | 涨势良好,0,1.0,10,10,0.0,3.5,10.0,7.0,2.0,7.0,10.0,5.0,10.0,10.0
3,002322,理工能科,80.4,55.9,24.5,14.51,1.26,13.34,-8.1%,15.41,+6.2%,16.32,+12.5%,均线多头 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,0,3.5,10,3,10.0,9.0,2.0,3.0,8.0,8.0,0.0,5.0,10.0,5.0
