排名,代码,名称,总分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,信号摘要,均线趋势,MACD,成交量,筹码分布,动量,布林带,RSI,KDJ,换手率
1,300381,溢多利,78.6,7.27,3.86,6.81,-6.3%,7.61,+4.7%,7.96,+9.5%,均线多头 | MACD偏多 | 量价配合 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,8.0,10.0,0.0,8.0,6.0,10.0
2,000590,古汉医药,75.9,12.44,2.81,11.55,-7.2%,13.11,+5.4%,13.78,+10.8%,均线多头 | MACD金叉 | 温和放量 | 涨势良好 | 上方筹码稀疏,10.0,10.0,7.0,8.0,10.0,5.0,5.0,3.0,8.0
3,300501,海顺新材,75.9,16.67,4.65,15.56,-6.7%,17.5,+5.0%,18.33,+10.0%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,8.0,10.0,0.0,8.0,3.0,10.0
4,000989,九芝堂,72.7,9.2,1.43,8.82,-4.1%,9.48,+3.0%,9.77,+6.2%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,7.0,10.0,0.0,8.0,3.0,8.0
5,300486,东杰智能,72.6,25.97,4.76,23.26,-10.4%,28.0,+7.8%,30.03,+15.6%,均线多头 | MACD偏多 | 量价配合 | KDJ金叉 | 涨势良好,10.0,7.0,10.0,3.0,10.0,0.0,8.0,6.0,10.0
6,300558,贝达药业,70.0,44.58,2.18,41.88,-6.1%,46.6,+4.5%,48.63,+9.1%,均线偏多 | MACD偏多 | 量价配合 | 涨势良好,5.5,7.0,10.0,2.0,10.0,10.0,8.0,3.0,8.0
7,000507,珠海港,68.7,5.71,1.6,5.37,-6.0%,5.97,+4.6%,6.23,+9.1%,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏,10.0,7.0,6.0,9.0,10.0,0.0,8.0,5.0,5.0
8,000531,穗恒运Ａ,68.4,7.32,4.87,6.71,-8.3%,7.78,+6.3%,8.24,+12.6%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 筹码尚可,9.0,7.0,10.0,6.0,10.0,0.0,3.0,4.0,10.0
9,000670,盈方微,68.2,8.3,4.01,7.66,-7.7%,8.78,+5.8%,9.26,+11.6%,均线偏多 | 温和放量 | KDJ金叉 | 涨势良好,7.0,2.0,7.0,3.0,10.0,10.0,8.0,6.0,10.0
10,001239,永达股份,66.3,16.58,2.03,15.73,-5.1%,17.22,+3.9%,17.86,+7.7%,均线偏多 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏,7.0,7.0,7.0,7.0,10.0,0.0,8.0,3.0,10.0
