排名,代码,名称,综合分,总分,精选分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,信号摘要,R2_风险收益比,R2_趋势稳定性,R2_乖离率,R2_量能持续性,R2_多周期共振,均线趋势,MACD,成交量,筹码分布,动量,布林带,RSI,KDJ,换手率
1,001256,炜冈科技,99.5,69.5,30.0,22.88,-0.95,21.62,-5.5%,24.0,+4.9%,25.13,+9.8%,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏,0,4.0,10,8,10.0,10.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,10.0
2,600548,深高速,94.69999999999999,67.1,27.6,9.17,1.33,8.92,-2.7%,9.36,+2.1%,9.55,+4.1%,均线多头 | MACD偏多 | 量价配合 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,0,6.0,10,5,8.5,10.0,7.0,10.0,8.0,8.0,0.0,3.0,6.0,5.0
3,600901,江苏金租,94.5,64.1,30.4,6.53,0.77,6.24,-4.4%,6.75,+3.4%,6.97,+6.7%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,0,6.0,10,10,6.0,9.0,5.0,10.0,8.0,8.0,0.0,5.0,5.0,5.0
