排名,代码,名称,总分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,信号摘要,均线趋势,MACD,成交量,筹码分布,动量,布林带,RSI,KDJ,换手率
1,603113,金能科技,75.6,7.61,2.42,7.1,-6.7%,7.99,+5.0%,8.37,+10.0%,均线多头 | MACD金叉 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,10.0,10.0,7.0,10.0,0.0,3.0,5.0,10.0
2,301327,华宝新能,73.8,59.8,1.18,56.04,-6.3%,62.62,+4.7%,65.44,+9.4%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,7.0,10.0,0.0,5.0,5.0,10.0
3,000597,东北制药,73.5,5.28,1.54,5.1,-3.4%,5.43,+2.8%,5.59,+5.9%,MACD金叉 | 量价配合 | KDJ金叉 | 涨势良好 | 筹码尚可,4.5,10.0,10.0,6.0,8.0,5.0,5.0,10.0,8.0
4,600732,爱旭股份,73.2,15.29,1.26,14.1,-7.8%,16.18,+5.8%,17.07,+11.6%,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,7.0,10.0,8.0,10.0,0.0,5.0,3.0,10.0
5,600810,神马股份,73.2,8.69,3.08,8.11,-6.7%,9.15,+5.3%,9.61,+10.6%,均线偏多 | MACD金叉 | 量价配合 | 涨势良好 | 筹码尚可,6.0,10.0,10.0,6.0,10.0,3.0,5.0,5.0,10.0
6,002580,圣阳股份,71.4,13.4,0.6,12.78,-4.6%,13.87,+3.5%,14.33,+6.9%,均线偏多 | MACD金叉 | 温和放量 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,6.0,10.0,7.0,8.0,10.0,0.0,5.0,8.0,10.0
7,600664,哈药股份,71.3,3.63,4.01,3.51,-3.3%,3.72,+2.5%,3.8,+4.7%,均线偏多 | MACD金叉 | 量价配合 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,7.0,10.0,10.0,8.0,10.0,3.0,0.0,8.0,6.0
8,300283,温州宏丰,70.7,8.42,1.08,7.81,-7.2%,8.93,+6.1%,9.43,+12.0%,均线偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,6.0,2.0,10.0,8.0,10.0,5.0,8.0,5.0,10.0
9,301358,湖南裕能,70.7,67.45,4.14,61.14,-9.4%,72.18,+7.0%,76.91,+14.0%,均线偏多 | MACD金叉 | 温和放量 | 上方筹码稀疏,5.0,10.0,7.0,9.0,5.0,10.0,3.0,4.0,10.0
10,600628,新世界,70.7,8.21,4.85,7.83,-4.6%,8.49,+3.4%,8.77,+6.8%,均线偏多 | MACD金叉 | 量价配合 | 涨势良好 | 筹码尚可,7.0,10.0,10.0,5.0,7.0,5.0,5.0,3.0,10.0
