排名,代码,名称,综合分,总分,精选分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,信号摘要,R2_风险收益比,R2_趋势稳定性,R2_乖离率,R2_量能持续性,R2_多周期共振,均线趋势,MACD,成交量,筹码分布,动量,布林带,RSI,KDJ,换手率
1,300381,溢多利,107.19999999999999,78.6,28.6,7.27,3.86,6.81,-6.3%,7.61,+4.7%,7.96,+9.5%,均线多头 | MACD偏多 | 量价配合 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,0,6.0,4,10,10.0,10.0,7.0,10.0,8.0,10.0,0.0,8.0,6.0,10.0
2,300486,东杰智能,101.19999999999999,72.6,28.6,25.97,4.76,23.26,-10.4%,28.0,+7.8%,30.03,+15.6%,均线多头 | MACD偏多 | 量价配合 | KDJ金叉 | 涨势良好,0,8.0,4,8,10.0,10.0,7.0,10.0,3.0,10.0,0.0,8.0,6.0,10.0
3,000590,古汉医药,100.9,75.9,25.0,12.44,2.81,11.55,-7.2%,13.11,+5.4%,13.78,+10.8%,均线多头 | MACD金叉 | 温和放量 | 涨势良好 | 上方筹码稀疏,0,2.0,10,5,10.0,10.0,10.0,7.0,8.0,10.0,5.0,5.0,3.0,8.0
