排名,代码,名称,综合分,总分,精选分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,移动止损触发价,移动止损价,移动止损%,ATR止损系数,信号摘要,R2_风险收益比,R2_趋势稳定性,R2_乖离率,R2_量能持续性,R2_多周期共振,均线趋势,MACD,成交量,筹码分布,相对低位,动量,布林带,RSI,KDJ,换手率
1,002322,理工能科,110.5,79.4,31.1,14.81,2.78,13.82,-6.7%,15.74,+6.3%,16.67,+12.6%,15.74,15.31,+3.4%,1.6,均线多头 | MACD金叉 | 量价配合 | 涨势良好 | 上方筹码稀疏,4,6.0,7,5,10.0,10.0,10.0,10.0,9.0,2,10.0,0.0,8.0,3.0,10.0
2,002468,申通快递,100.39999999999999,72.1,28.3,15.26,2.35,14.27,-6.5%,16.19,+6.1%,17.11,+12.1%,16.19,15.75,+3.2%,1.6,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏,2,6.0,1,10,10.0,10.0,7.0,7.0,9.0,2,7.0,0.0,0.0,3.0,10.0
3,002245,蔚蓝锂芯,98.9,72.7,26.2,17.79,2.24,16.69,-6.2%,18.83,+5.8%,19.88,+11.7%,18.83,18.35,+3.1%,1.6,均线偏多 | MACD金叉 | 温和放量 | 涨势良好 | 上方筹码稀疏 | 位置尚可,4,1.5,10,6,5.5,7.0,10.0,7.0,7.0,6,7.0,10.0,5.0,5.0,10.0
