代码,名称,最新价,涨跌幅%,均线趋势,MACD,成交量,筹码分布,动量,布林带,RSI,KDJ,换手率,总分
600019,宝钢股份,7.2,1.98,5.0,10.0,10.0,7.0,8.0,10.0,8.0,10.0,8.0,83.1
600021,上海电力,21.85,4.45,7.0,10.0,10.0,6.0,10.0,10.0,5.0,3.0,10.0,79.9
000913,钱江摩托,15.85,1.93,7.0,10.0,10.0,9.0,8.0,5.0,8.0,5.0,8.0,79.0
000062,深圳华强,25.3,1.85,7.0,10.0,10.0,6.0,10.0,10.0,5.0,3.0,8.0,77.9
600123,兰花科创,6.44,2.71,10.0,7.0,10.0,8.0,10.0,0.0,8.0,3.0,10.0,75.9
600017,日照港,3.23,2.54,7.0,10.0,10.0,8.0,10.0,0.0,8.0,3.0,10.0,75.0
600120,浙江东方,6.66,2.94,6.0,10.0,10.0,5.0,6.0,10.0,8.0,2.0,10.0,75.0
600191,华资实业,13.26,3.76,6.0,10.0,7.0,8.0,7.0,10.0,5.0,3.0,10.0,73.9
600155,华创云信,6.91,2.07,7.0,7.0,10.0,9.0,8.0,3.0,8.0,5.0,8.0,73.4
002838,道恩股份,29.16,1.32,7.0,2.0,10.0,8.0,10.0,10.0,8.0,3.0,8.0,73.4
