排名,代码,名称,总分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,信号摘要,均线趋势,MACD,成交量,筹码分布,动量,布林带,RSI,KDJ,换手率
1,002466,天齐锂业,69.2,53.46,3.54,48.81,-8.7%,56.95,+6.5%,60.43,+13.0%,MACD金叉 | 温和放量 | KDJ金叉 | 涨势良好,3.5,10.0,7.0,2.0,7.0,10.0,5.0,10.0,10.0
2,002460,赣锋锂业,68.1,70.63,2.05,64.09,-9.3%,75.54,+7.0%,80.44,+13.9%,均线偏多 | MACD金叉 | 温和放量 | 涨势良好 | 上方筹码稀疏,7.0,10.0,6.0,9.0,8.0,5.0,5.0,5.0,5.0
3,002322,理工能科,55.9,14.51,1.26,13.34,-8.1%,15.41,+6.2%,16.32,+12.5%,均线多头 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,9.0,2.0,3.0,8.0,8.0,0.0,5.0,10.0,5.0
4,002360,同德化工,53.4,6.56,1.86,5.86,-10.7%,7.09,+8.1%,7.61,+16.0%,均线偏多 | MACD金叉 | KDJ金叉 | 涨势良好 | 上方筹码稀疏,6.0,10.0,0.0,7.0,10.0,0.0,0.0,10.0,5.0
5,002510,天汽模,52.8,7.13,2.89,6.78,-4.9%,7.7,+8.0%,8.62,+20.9%,量价配合 | KDJ金叉,1.0,2.0,10.0,3.0,3.0,4.0,7.0,10.0,10.0
6,002377,国创高新,52.0,3.46,4.22,3.28,-5.2%,3.68,+6.4%,3.9,+12.7%,量价配合 | KDJ金叉,2.5,2.0,10.0,2.0,3.0,4.0,5.0,10.0,10.0
7,002224,三 力 士,51.7,4.83,2.99,4.53,-6.2%,5.1,+5.6%,5.38,+11.4%,均线偏多 | 上方筹码稀疏,5.0,2.0,3.0,9.0,4.0,10.0,5.0,4.0,5.0
8,002198,嘉应制药,49.2,7.63,1.19,6.92,-9.3%,8.16,+6.9%,8.69,+13.9%,上方筹码稀疏,4.0,2.0,3.0,9.0,3.0,10.0,5.0,4.0,5.0
9,002445,中南文化,49.1,4.27,4.66,3.54,-17.1%,4.82,+12.9%,5.37,+25.8%,均线偏多 | MACD偏多 | 量价配合 | 涨势良好,7.0,7.0,10.0,3.0,7.0,0.0,0.0,4.0,3.0
10,000001,平安银行,49.0,10.94,0.55,10.62,-2.9%,11.18,+2.2%,11.42,+4.4%,MACD金叉 | KDJ金叉 | 筹码尚可,3.5,10.0,3.0,6.0,4.0,5.0,5.0,8.0,0.0
