排名,代码,名称,总分,最新价,涨跌幅%,止损价,止损%,止盈1,止盈1%,止盈2,止盈2%,移动止损触发价,移动止损价,移动止损%,ATR止损系数,信号摘要,均线趋势,MACD,成交量,筹码分布,相对低位,动量,布林带,RSI,KDJ,换手率
1,603222,济民健康,82.9,9.11,1.56,8.6,-5.6%,9.59,+5.3%,10.07,+10.5%,9.59,9.36,+2.7%,1.6,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏 | 横向相对低位,10.0,7.0,7.0,8.0,9,10.0,0.0,8.0,3.0,10.0
2,603196,璞源材料,79.7,27.49,0.99,25.74,-6.4%,29.13,+6.0%,30.76,+11.9%,29.13,28.36,+3.2%,1.6,均线多头 | MACD金叉 | 温和放量 | 涨势良好 | 上方筹码稀疏,10.0,10.0,7.0,10.0,3,7.0,0.0,5.0,5.0,10.0
3,002275,桂林三金,78.4,14.4,1.55,13.95,-3.1%,14.83,+3.0%,15.25,+5.9%,14.83,14.63,+1.6%,1.6,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏 | 位置尚可,10.0,7.0,10.0,8.0,6,10.0,0.0,5.0,3.0,5.0
4,603565,中谷物流,76.3,11.53,2.31,11.1,-3.7%,11.93,+3.5%,12.33,+6.9%,11.93,11.74,+1.8%,1.6,均线多头 | MACD金叉 | 量价配合 | 涨势良好 | 上方筹码稀疏,10.0,10.0,10.0,9.0,2,10.0,0.0,0.0,3.0,5.0
5,300199,翰宇药业,76.0,19.19,2.07,17.8,-7.2%,20.24,+5.5%,21.28,+10.9%,20.24,19.75,+2.9%,2.0,均线多头 | MACD偏多 | 涨势良好 | 上方筹码稀疏 | 位置尚可,10.0,7.0,4.0,9.0,6,7.0,0.0,0.0,3.0,10.0
6,603311,金海高科,73.9,16.47,0.24,15.07,-8.5%,17.78,+8.0%,19.1,+16.0%,17.78,17.17,+4.3%,1.6,均线多头 | MACD金叉 | 涨势良好 | 上方筹码稀疏,10.0,10.0,3.0,9.0,2,7.0,5.0,5.0,5.0,5.0
7,603345,安井食品,73.5,90.0,2.93,85.43,-5.1%,94.28,+4.8%,98.57,+9.5%,94.28,92.29,+2.5%,1.6,均线多头 | MACD金叉 | 温和放量 | 涨势良好 | 上方筹码稀疏,8.0,10.0,7.0,8.0,3,7.0,10.0,5.0,3.0,10.0
8,603227,雪峰科技,73.0,9.47,0.85,8.89,-6.1%,10.01,+5.7%,10.55,+11.4%,10.01,9.76,+3.1%,1.6,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏,10.0,7.0,6.0,10.0,2,7.0,0.0,3.0,3.0,5.0
9,000989,九芝堂,72.1,9.44,0.64,9.01,-4.6%,9.84,+4.2%,10.25,+8.6%,9.84,9.66,+2.3%,1.6,均线多头 | MACD偏多 | 温和放量 | 涨势良好 | 上方筹码稀疏,10.0,7.0,7.0,9.0,2,7.0,0.0,0.0,3.0,10.0
10,300204,舒泰神,72.1,28.77,3.64,26.48,-8.0%,30.91,+7.4%,33.06,+14.9%,30.91,29.91,+4.0%,1.6,均线多头 | MACD偏多 | 量价配合 | 涨势良好 | 上方筹码稀疏,9.5,7.0,10.0,9.0,3,7.0,0.0,0.0,3.0,3.0
